TaxonId	VirusSpecies
223347	Tomato leaf curl New Delhi virus
223352	Tomato leaf curl Sri Lanka virus
223356	Tomato mosaic Havana virus
223357	Tomato mosaic Havana virus-[Quivican]
223358	Tomato mottle Taino virus
223359	Tomato mottle virus-[Florida]
223360	Tomato rugose mosaic virus-[Ube]
223769	Grapevine Anatolian ringspot virus
224578	Barley yellow dwarf virus GAV
225752	Sweet potato leaf curl Georgia virus
227137	Okra yellow vein mosaic virus
227507	Strawberry pallidosis-associated virus
228578	Youcai mosaic virus
228582	Cereal yellow dwarf virus RPS
228897	Sida micrantha mosaic virus
229030	Cactus mild mottle virus
229149	Johnsongrass chlorotic stripe mosaic virus
229634	Papaya leaf curl China virus
229636	Tomato leaf curl China virus
232380	Tomato yellow leaf curl Axarquia virus
233051	Hibiscus latent Fort Pierce virus
233784	Grapevine deformation virus
234829	Tomato begomovirus satellite DNA beta
240492	Tomato chino La Paz virus
240557	Tomato yellow leaf curl China alphasatellite
240865	Honeysuckle yellow vein virus
240867	Honeysuckle yellow vein virus-[UK2]
241525	Cole latent virus
241651	Amaranthus leaf mottle virus
243560	calla lily latent virus
243563	Strawberry necrotic shock virus
244050	Tuberose mild mottle virus
253700	Schlumbergera virus X
253701	Zygocactus virus X
253702	Opuntia virus X
254711	Havel River virus
255066	Pepper veinal mottle virus
255238	Fragaria chiloensis latent virus
255255	Melon yellowing-associated virus
255520	Neckar River virus
255521	Sitke waterborne virus
255587	Pelargonium necrotic spot virus
255721	Cucumber mosaic virus (strain Mf)
256591	meadow saffron breaking virus
257463	Arracacha virus B
257464	Potato black ringspot virus
258471	Pfaffia mosaic virus
260374	Alstroemeria mosaic virus
260375	Amazon lily mosaic virus
260377	Tomato yellow leaf curl Mali virus
260378	Pepper yellow vein Mali virus
260379	Tomato leaf curl Mali virus
260479	Cotton leaf curl Multan virus satellite U36-1
260908	Tomato mosaic leaf curl virus
260909	Tomato yellow margin leaf curl virus
262588	Cardamom bushy dwarf virus
262957	Piper yellow mottle virus
263001	Tomato leaf curl Java virus
263004	Sweet potato chlorotic fleck virus
263577	Tomato leaf curl Java virus-[Ageratum]
263578	Tomato leaf curl Java virus-[Ageratum] satellite DNA
263793	Horsegram yellow mosaic virus
263892	Bougainvillea chlorotic vein banding virus
264076	Horseradish latent virus
265877	Mint vein banding-associated virus
266799	Tomato yellow leaf curl Kanchanaburi virus
267970	Bean yellow disorder virus
268315	Maize streak virus - [Reunion2]
268316	Maize streak virus - A[Ama]
268319	Maize streak virus - A[Kenya]
268326	Maize streak virus - A[Nigeria1]
268330	Maize streak virus - B[Mom]
268331	Maize streak virus - E[Pat]
268332	Maize streak virus - Reunion [N2AR2]
268343	Maize streak virus - [Raw]
268776	Miscanthus streak virus - [91]
268779	Panicum streak virus - Karino
268785	Sugarcane streak Egypt virus - [Giza]
268789	Wheat dwarf virus - [Sweden]
268956	Beet mild curly top virus - [Worland]
268961	Beet curly top virus - California [Logan/Arabidopsis]
269095	Eupatorium yellow vein virus - [Yamaguchi]
269213	Humulus japonicus latent virus
269275	Squash leaf curl China virus - [B]
269277	Squash leaf curl Philippines virus
269280	Stachytarpheta leaf curl virus - [Hn5.4]
269281	Stachytarpheta leaf curl virus - [Hn6.1]
269282	Tobacco leaf curl Yunnan virus - [Y136]
